X	Y	Z
269.823000000000	566.023000000000	350
287.104000000000	544.478000000000	350
306.581000000000	524.176000000000	350
329.588000000000	493.750000000000	350
351.383000000000	466.956000000000	350
373.950000000000	440.326000000000	350
394.531000000000	418.578000000000	350
412.328000000000	388.260000000000	350
433.268000000000	355.457000000000	350
449.404000000000	328.338000000000	350
467.993000000000	303.670000000000	350
475.834000000000	281.249000000000	350
491.096000000000	264.111000000000	350
503.728000000000	257.566000000000	350
516.116000000000	266.875000000000	350
522.039000000000	277.793000000000	350
529.887000000000	295.040000000000	350
543.515000000000	319.314000000000	350
550.773000000000	337.810000000000	350
564.327000000000	363.483000000000	350
576.756000000000	386.277000000000	350
587.660000000000	402.580000000000	350
595.718000000000	424.010000000000	350
610.241000000000	448.128000000000	350
624.628000000000	471.995000000000	350
637.321000000000	496.147000000000	350
648.754000000000	518.839000000000	350
653.342000000000	534.700000000000	350
651.302000000000	553.183000000000	350
643.258000000000	566.851000000000	350
620.419000000000	580.696000000000	350
592.241000000000	603.823000000000	350
564.463000000000	621.585000000000	350
546.693000000000	640.923000000000	350
522.588000000000	664.037000000000	350
497.385000000000	683.653000000000	350
470.270000000000	706.488000000000	350
456.357000000000	726.559000000000	350
441.706000000000	748.939000000000	350
424.702000000000	766.539000000000	350
405.042000000000	790.120000000000	350
386.569000000000	815.250000000000	350
371.443000000000	839.307000000000	350
352.589000000000	865.856000000000	350
336.745000000000	892.534000000000	350
323.272000000000	913.081000000000	350
310.044000000000	937.593000000000	350
300.210000000000	966.586000000000	350
293	988.145000000000	350
287.849000000000	1018.47600000000	350
285.850000000000	1049.59400000000	350
284.630000000000	1075.74300000000	350
287.673000000000	1105.11600000000	350
292.763000000000	1129.94800000000	350
295.399000000000	1151.00300000000	350
299.560000000000	1175.41300000000	350
307.197000000000	1198.68300000000	350
312.992000000000	1223.81300000000	350
318.684000000000	1247.79500000000	350
325.339000000000	1265.00800000000	350
330.950000000000	1283.36100000000	350
335.769000000000	1296.71000000000	350
345.717000000000	1317.88200000000	350
355.659000000000	1344.19300000000	350
